"Дата акції від дати завантаження до дати закінчення, план | Мережа | Продукція | Еталонний місяць","06.07-16.07.25 | Варус | торт Пінчер з вишнею (0,8кг) ОПТ | Травень","06.07-16.07.25 | Варус | торт Наполеон (1,0 кг) ОПТ  | Травень","06.07-16.07.25 | Варус | торт Червоний оксамит (0,5 кг)  | Травень",Мануилова А..3 | Мануилова А..3 | Мануилова А..3 | Мануилова А..3,"06.07-16.07.25 | Варус | торт Фісташка з лохиною (0,5 кг)  | Травень"
Мережа,Варус,Варус,Варус,Григорян С..132,Сільпо
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..132,"торт Тірамісу (0,380 кг) газ уп"
Еталонний місяць,Травень,Травень,Травень,Григорян С..132,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..132,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..132,"1,1"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..132,222 900
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..132,1 716
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..132,"59,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..132,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..132,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..132,11%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..132,2%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..132,49%
"Витрати на активацію, грн",0,0,0,Григорян С..132,16 666
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..132,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..132,"1,88"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..132,2
,,,,Григорян С..132,
Резульати,,,,Григорян С..132,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..132,4 195
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..132,490 380
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..132,78 461
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..132,152 018
,,,,Григорян С..132,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..132,36 778
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..132,4 337
,93 185,65 126,7 246,Григорян С..132,41 116
"PL, грн план",137 366,123 334,5 677,Григорян С..132,15 775
"PL, % план","17,02%","21,60%","6,27%",Григорян С..132,"3,22%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..133,07.08-20.08.25
Мережа,Варус,Варус,Варус,Григорян С..133,Сільпо
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..133,"Тістечко Макаронс мікс 1шт Флоу Пак (фісташка, кокос, апельсин) БОКС"
Еталонний місяць,Травень,Травень,Травень,Григорян С..133,Січень
Акційний місяць,Липень,Липень,Липень,Григорян С..133,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..133,"1,15"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..133,173 054
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..133,14 208
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..133,"78,30%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..133,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..133,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..133,5%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..133,1%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..133,68%
"Витрати на активацію, грн",0,0,0,Григорян С..133,16 666
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..133,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..133,"0,3"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..133,2
,,,,Григорян С..133,
Резульати,,,,Григорян С..133,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..133,36 309
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..133,398 023
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..133,114 025
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..133,204 168
,,,,Григорян С..133,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..133,29 852
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..133,5 991
,93 185,65 126,7 246,Григорян С..133,35 843
"PL, грн план",137 366,123 334,5 677,Григорян С..133,37 634
"PL, % план","17,02%","21,60%","6,27%",Григорян С..133,"9,46%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..134,07.08-20.08.25
Мережа,Варус,Варус,Варус,Григорян С..134,Сільпо
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..134,"Тістечко Тарти мікс 1шт Флоу Пак (фундук, кизил, солона карамель) БОКС"
Еталонний місяць,Травень,Травень,Травень,Григорян С..134,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..134,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..134,"1,1"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..134,104 233
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..134,8 352
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..134,"49,56%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..134,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..134,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..134,2%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..134,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..134,40%
"Витрати на активацію, грн",0,0,0,Григорян С..134,16 666
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..134,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..134,"0,25"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..134,"1,5"
,,,,Григорян С..134,
Резульати,,,,Григорян С..134,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..134,15 312
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..134,171 984
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..134,36 184
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..134,40 517
,,,,Григорян С..134,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..134,8 599
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..134,1 531
,93 185,65 126,7 246,Григорян С..134,10 130
"PL, грн план",137 366,123 334,5 677,Григорян С..134,-22 463
"PL, % план","17,02%","21,60%","6,27%",Григорян С..134,"-13,06%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..135,14.08-03.09.25
Мережа,Варус,Варус,Варус,Григорян С..135,Сільпо
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..135,"торт Пінчер з вишнею (0,350 кг) газ уп"
Еталонний місяць,Травень,Травень,Травень,Григорян С..135,Березень
Акційний місяць,Липень,Липень,Липень,Григорян С..135,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..135,"0,82"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..135,426 773
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..135,3 695
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..135,"70,42%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..135,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..135,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..135,2%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..135,1%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..135,60%
"Витрати на активацію, грн",0,0,0,Григорян С..135,16 666
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..135,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..135,"1,25"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..135,"1,8"
,,,,Григорян С..135,
Резульати,,,,Григорян С..135,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..135,6 060
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..135,629 916
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..135,183 451
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..135,273 519
,,,,Григорян С..135,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..135,41 994
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..135,3 787
,93 185,65 126,7 246,Григорян С..135,45 782
"PL, грн план",137 366,123 334,5 677,Григорян С..135,27 620
"PL, % план","17,02%","21,60%","6,27%",Григорян С..135,"4,38%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..136,14.08-03.09.25
Мережа,Варус,Варус,Варус,Григорян С..136,Сільпо
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..136,"торт Чізкейк шоколадний з вишнею 0,5 кг"
Еталонний місяць,Травень,Травень,Травень,Григорян С..136,Січень
Акційний місяць,Липень,Липень,Липень,Григорян С..136,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..136,"1,15"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..136,86 175
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..136,383
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..136,"65,91%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..136,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..136,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..136,26%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..136,7%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..136,75%
"Витрати на активацію, грн",0,0,0,Григорян С..136,16 666
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..136,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..136,2
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..136,"1,5"
,,,,Григорян С..136,
Резульати,,,,Григорян С..136,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..136,734
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..136,148 652
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..136,23 692
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..136,76 636
,,,,Григорян С..136,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..136,7 433
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..136,587
,93 185,65 126,7 246,Григорян С..136,8 020
"PL, грн план",137 366,123 334,5 677,Григорян С..136,28 258
"PL, % план","17,02%","21,60%","6,27%",Григорян С..136,"19,01%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..137,28.08-17.09.25
Мережа,Варус,Варус,Варус,Григорян С..137,Сільпо
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..137,"торт Червоний оксамит (0,5 кг)"
Еталонний місяць,Травень,Травень,Травень,Григорян С..137,Січень
Акційний місяць,Липень,Липень,Липень,Григорян С..137,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..137,"1,2"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..137,353 562
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..137,1 574
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..137,"69,29%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..137,15%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..137,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..137,20%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..137,7%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..137,54%
"Витрати на активацію, грн",0,0,0,Григорян С..137,12 500
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..137,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..137,2
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..137,"1,5"
,,,,Григорян С..137,
Резульати,,,,Григорян С..137,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..137,3 333
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..137,636 412
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..137,141 226
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..137,199 111
,,,,Григорян С..137,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..137,31 821
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..137,2 889
,93 185,65 126,7 246,Григорян С..137,34 709
"PL, грн план",137 366,123 334,5 677,Григорян С..137,10 675
"PL, % план","17,02%","21,60%","6,27%",Григорян С..137,"1,68%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..138,28.08-17.09.25
Мережа,Варус,Варус,Варус,Григорян С..138,Сільпо
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..138,"торт Наполеон з солоною карамеллю (0,450кг) газ уп"
Еталонний місяць,Травень,Травень,Травень,Григорян С..138,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..138,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..138,"1,1"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..138,453 984
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..138,3 863
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..138,"71,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..138,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..138,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..138,1%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..138,1%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..138,75%
"Витрати на активацію, грн",0,0,0,Григорян С..138,16 666
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..138,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..138,"1,44"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..138,"1,8"
,,,,Григорян С..138,
Резульати,,,,Григорян С..138,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..138,8 499
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..138,898 889
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..138,269 667
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..138,517 344
,,,,Григорян С..138,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..138,59 926
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..138,6 119
,93 185,65 126,7 246,Григорян С..138,66 045
"PL, грн план",137 366,123 334,5 677,Григорян С..138,164 967
"PL, % план","17,02%","21,60%","6,27%",Григорян С..138,"18,35%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..139,28.08-17.09.25
Мережа,Варус,Варус,Варус,Григорян С..139,Сільпо
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..139,"торт Пінчер з вишнею (0,8кг) ОПТ"
Еталонний місяць,Травень,Травень,Травень,Григорян С..139,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..139,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..139,"1,1"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..139,408 024
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..139,2 614
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..139,"68,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..139,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..139,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..139,4%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..139,2%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..139,75%
"Витрати на активацію, грн",0,0,0,Григорян С..139,12 500
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..139,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..139,"2,5"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..139,2
,,,,Григорян С..139,
Резульати,,,,Григорян С..139,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..139,6 390
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..139,897 653
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..139,214 184
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..139,507 657
,,,,Григорян С..139,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..139,67 324
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..139,8 786
,93 185,65 126,7 246,Григорян С..139,76 110
"PL, грн план",137 366,123 334,5 677,Григорян С..139,204 863
"PL, % план","17,02%","21,60%","6,27%",Григорян С..139,"22,82%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..140,28.08-17.09.25
Мережа,Варус,Варус,Варус,Григорян С..140,Сільпо
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..140,"Торт  Чізкейк з солоною карамеллю 0,55"
Еталонний місяць,Травень,Травень,Травень,Григорян С..140,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..140,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..140,"1,1"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..140,33 975
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..140,151
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..140,"73,43%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..140,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..140,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..140,11%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..140,1%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..140,63%
"Витрати на активацію, грн",0,0,0,Григорян С..140,16 666
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..140,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..140,2
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..140,"1,5"
,,,,Григорян С..140,
Резульати,,,,Григорян С..140,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..140,277
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..140,56 059
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..140,17 352
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..140,26 028
,,,,Григорян С..140,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..140,2 803
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..140,221
,93 185,65 126,7 246,Григорян С..140,3 024
"PL, грн план",137 366,123 334,5 677,Григорян С..140,-11 014
"PL, % план","17,02%","21,60%","6,27%",Григорян С..140,"-19,65%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..141,11.09-01.10.25
Мережа,Варус,Варус,Варус,Григорян С..141,Сільпо
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..141,"торт Тірамісу (0,380 кг) газ уп"
Еталонний місяць,Травень,Травень,Травень,Григорян С..141,Березень
Акційний місяць,Липень,Липень,Липень,Григорян С..141,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..141,"0,85"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..141,204 765
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..141,1 606
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..141,"60,37%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..141,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..141,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..141,16%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..141,5%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..141,50%
"Витрати на активацію, грн",0,0,0,Григорян С..141,16 666
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..141,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..141,"1,88"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..141,2
,,,,Григорян С..141,
Резульати,,,,Григорян С..141,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..141,3 034
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..141,348 101
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..141,49 373
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..141,102 226
,,,,Григорян С..141,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..141,26 108
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..141,3 137
,93 185,65 126,7 246,Григорян С..141,29 244
"PL, грн план",137 366,123 334,5 677,Григорян С..141,6 943
"PL, % план","17,02%","21,60%","6,27%",Григорян С..141,"1,99%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..142,11.09-01.10.25
Мережа,Варус,Варус,Варус,Григорян С..142,Сільпо
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..142,"Мини профитроли в глазуре (0,2кг)"
Еталонний місяць,Травень,Травень,Травень,Григорян С..142,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..142,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..142,"1,1"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..142,141 965
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..142,3 163
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..142,"66,69%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..142,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..142,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..142,5%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..142,1%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..142,57%
"Витрати на активацію, грн",0,0,0,Григорян С..142,16 666
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..142,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..142,"0,8"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..142,2
,,,,Григорян С..142,
Резульати,,,,Григорян С..142,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..142,7 732
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..142,312 323
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..142,70 696
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..142,123 966
,,,,Григорян С..142,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..142,23 424
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..142,3 402
,93 185,65 126,7 246,Григорян С..142,26 826
"PL, грн план",137 366,123 334,5 677,Григорян С..142,9 777
"PL, % план","17,02%","21,60%","6,27%",Григорян С..142,"3,13%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..143,11.09-01.10.25
Мережа,Варус,Варус,Варус,Григорян С..143,Сільпо
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..143,"Тістечко Макаронс мікс 1шт Флоу Пак (фісташка, кокос, апельсин) БОКС"
Еталонний місяць,Травень,Травень,Травень,Григорян С..143,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..143,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..143,"1,1"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..143,250 832
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..143,23 064
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..143,"73,41%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..143,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..143,16%
"Повернення без акції, %",2%,1%,10%,Григорян С..143,3%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..143,1%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..143,63%
"Витрати на активацію, грн",0,0,0,Григорян С..143,16 666
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..143,"0,15"
