"Дата акції від дати завантаження до дати закінчення, план | Мережа | Продукція | Еталонний місяць","06.07-16.07.25 | Варус | торт Пінчер з вишнею (0,8кг) ОПТ | Травень","06.07-16.07.25 | Варус | торт Наполеон (1,0 кг) ОПТ  | Травень","06.07-16.07.25 | Варус | торт Червоний оксамит (0,5 кг)  | Травень",Мануилова А..3 | Мануилова А..3 | Мануилова А..3 | Мануилова А..3,"06.07-16.07.25 | Варус | торт Фісташка з лохиною (0,5 кг)  | Травень"
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Мануилова А..9,798
,93 185,65 126,7 246,Мануилова А..9,3 678
"PL, грн план",137 366,123 334,5 677,Мануилова А..9,4 140
"PL, % план","17,02%","21,60%","6,27%",Мануилова А..9,"10,21%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Мануилова А..10,10.07-16.07.25
Мережа,Варус,Варус,Варус,Мануилова А..10,Варус
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Мануилова А..10,Тістечко Солона карамель з горіхом 150г Варто
Еталонний місяць,Травень,Травень,Травень,Мануилова А..10,Травень
Акційний місяць,Липень,Липень,Липень,Мануилова А..10,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Мануилова А..10,"0,9"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Мануилова А..10,55 679
"Продажі в еталоний період, шт",1612,1588,233,Мануилова А..10,1 709
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Мануилова А..10,"57,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Мануилова А..10,10%
"Бонус, %","11,50%","11,65%","11,50%",Мануилова А..10,12%
"Повернення без акції, %",2%,1%,10%,Мануилова А..10,0%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Мануилова А..10,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Мануилова А..10,53%
"Витрати на активацію, грн",0,0,0,Мануилова А..10,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Мануилова А..10,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Мануилова А..10,"0,96"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Мануилова А..10,"1,7"
,,,,Мануилова А..10,
Резульати,,,,Мануилова А..10,
"Продажі в акційний період, шт план",5 977,5 374,542,Мануилова А..10,2 871
"Продажі в акційний період, грн план",806 935,570 865,90 537,Мануилова А..10,84 187
"Дохід еталоний період, грн план",144 674,116 096,21 934,Мануилова А..10,22 801
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Мануилова А..10,34 937
,,,,Мануилова А..10,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Мануилова А..10,5 111
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Мануилова А..10,1 280
,93 185,65 126,7 246,Мануилова А..10,6 391
"PL, грн план",137 366,123 334,5 677,Мануилова А..10,5 746
"PL, % план","17,02%","21,60%","6,27%",Мануилова А..10,"6,83%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Мануилова А..11,10.07-16.07.25
Мережа,Варус,Варус,Варус,Мануилова А..11,Варус
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Мануилова А..11,Тістечко Наполеон з солоною карамеллю 190г Varto
Еталонний місяць,Травень,Травень,Травень,Мануилова А..11,Травень
Акційний місяць,Липень,Липень,Липень,Мануилова А..11,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Мануилова А..11,"0,9"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Мануилова А..11,44 700
"Продажі в еталоний період, шт",1612,1588,233,Мануилова А..11,1 372
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Мануилова А..11,"60,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Мануилова А..11,10%
"Бонус, %","11,50%","11,65%","11,50%",Мануилова А..11,12%
"Повернення без акції, %",2%,1%,10%,Мануилова А..11,0%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Мануилова А..11,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Мануилова А..11,55%
"Витрати на активацію, грн",0,0,0,Мануилова А..11,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Мануилова А..11,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Мануилова А..11,"0,96"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Мануилова А..11,"1,9"
,,,,Мануилова А..11,
Резульати,,,,Мануилова А..11,
"Продажі в акційний період, шт план",5 977,5 374,542,Мануилова А..11,2 621
"Продажі в акційний період, грн план",806 935,570 865,90 537,Мануилова А..11,76 839
"Дохід еталоний період, грн план",144 674,116 096,21 934,Мануилова А..11,19 512
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Мануилова А..11,33 425
,,,,Мануилова А..11,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Мануилова А..11,5 491
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Мануилова А..11,1 330
,93 185,65 126,7 246,Мануилова А..11,6 822
"PL, грн план",137 366,123 334,5 677,Мануилова А..11,7 092
"PL, % план","17,02%","21,60%","6,27%",Мануилова А..11,"9,23%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Мануилова А..12,10.07-16.07.25
Мережа,Варус,Варус,Варус,Мануилова А..12,Варус
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Мануилова А..12,Торт Пінчер з вишнею Varto 160г
Еталонний місяць,Травень,Травень,Травень,Мануилова А..12,Травень
Акційний місяць,Липень,Липень,Липень,Мануилова А..12,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Мануилова А..12,"0,9"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Мануилова А..12,149 720
"Продажі в еталоний період, шт",1612,1588,233,Мануилова А..12,4 825
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Мануилова А..12,"48,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Мануилова А..12,10%
"Бонус, %","11,50%","11,65%","11,50%",Мануилова А..12,12%
"Повернення без акції, %",2%,1%,10%,Мануилова А..12,0%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Мануилова А..12,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Мануилова А..12,40%
"Витрати на активацію, грн",0,0,0,Мануилова А..12,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Мануилова А..12,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Мануилова А..12,"0,96"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Мануилова А..12,"1,6"
,,,,Мануилова А..12,
Резульати,,,,Мануилова А..12,
"Продажі в акційний період, шт план",5 977,5 374,542,Мануилова А..12,7 672
"Продажі в акційний період, грн план",806 935,570 865,90 537,Мануилова А..12,214 249
"Дохід еталоний період, грн план",144 674,116 096,21 934,Мануилова А..12,49 183
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Мануилова А..12,61 061
,,,,Мануилова А..12,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Мануилова А..12,11 925
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Мануилова А..12,3 196
,93 185,65 126,7 246,Мануилова А..12,15 121
"PL, грн план",137 366,123 334,5 677,Мануилова А..12,-3 243
"PL, % план","17,02%","21,60%","6,27%",Мануилова А..12,"-1,51%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Мануилова А..13,15.07-23.07.25
Мережа,Варус,Варус,Варус,Мануилова А..13,Варус
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Мануилова А..13,Торт Празький з вишнею Варто 400г
Еталонний місяць,Травень,Травень,Травень,Мануилова А..13,Травень
Акційний місяць,Липень,Липень,Липень,Мануилова А..13,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Мануилова А..13,"0,9"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Мануилова А..13,93 177
"Продажі в еталоний період, шт",1612,1588,233,Мануилова А..13,1 305
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Мануилова А..13,"58,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Мануилова А..13,15%
"Бонус, %","11,50%","11,65%","11,50%",Мануилова А..13,12%
"Повернення без акції, %",2%,1%,10%,Мануилова А..13,0%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Мануилова А..13,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Мануилова А..13,53%
"Витрати на активацію, грн",0,0,0,Мануилова А..13,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Мануилова А..13,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Мануилова А..13,"1,25"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Мануилова А..13,"1,6"
,,,,Мануилова А..13,
Резульати,,,,Мануилова А..13,
"Продажі в акційний період, шт план",5 977,5 374,542,Мануилова А..13,2 142
"Продажі в акційний період, грн план",806 935,570 865,90 537,Мануилова А..13,129 982
"Дохід еталоний період, грн план",144 674,116 096,21 934,Мануилова А..13,38 995
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Мануилова А..13,53 942
,,,,Мануилова А..13,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Мануилова А..13,6 918
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Мануилова А..13,1 209
,93 185,65 126,7 246,Мануилова А..13,8 127
"PL, грн план",137 366,123 334,5 677,Мануилова А..13,6 820
"PL, % план","17,02%","21,60%","6,27%",Мануилова А..13,"5,25%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Мануилова А..14,15.07-23.07.25
Мережа,Варус,Варус,Варус,Мануилова А..14,Варус
